ID;Pos;PointOrder;ZoneLightID
509;6829.7333984375,5321.94091796875;5;65
510;6951.43212890625,5251.26806640625;6;65
511;6941.82861328125,5172.328125;7;65
512;6811.8798828125,5100.90283203125;8;65
513;6819.08251953125,4539.6669921875;9;65
514;6806.58251953125,4310.60302734375;10;65
515;6711.19677734375,4140.31201171875;11;65
516;6363.06005859375,3670.9970703125;12;65
517;6199.13525390625,3580.95361328125;13;65
518;5984.4169921875,3373.16162109375;14;65
519;5538.81787109375,3359.30908203125;15;65
520;5534.2001953125,3068.399658203125;16;65
521;5598.8466796875,3063.781982421875;17;65
522;5603.4638671875,2735.932373046875;18;65
523;5478.78857421875,2636.65380859375;19;65
524;5453.3916015625,2440.405517578125;20;65
525;5374.892578125,2234.922119140625;21;65
526;5231.7470703125,2135.643310546875;22;65
527;5065.51318359375,2087.15869140625;23;65
528;5026.93212890625,1999.56640625;24;65
529;4900.19140625,1903.810791015625;25;65
530;4902.42431640625,1788.4644775390625;26;65
531;4832.82373046875,1787.3980712890625;27;65
532;4833.42431640625,1657.3587646484375;28;65
533;4926.64892578125,1634.56884765625;29;65
534;5047.36279296875,1498.69775390625;30;65
535;5137.05810546875,1478.73876953125;31;65
536;5243.0791015625,1240.0157470703125;32;65
537;5355.63037109375,1164.5498046875;33;65
538;5365.32958984375,1074.3905029296875;34;65
539;5425.63916015625,1077.2874755859375;35;65
540;5508.8037109375,1274.4605712890625;36;65
541;5584.08544921875,1341.395751953125;37;65
542;5700.43359375,1418.760498046875;38;65
543;5903.6083984375,1423.378173828125;39;65
544;6002.88720703125,1343.7244873046875;40;65
545;6132.18017578125,1290.621826171875;41;65
546;6160.24755859375,1134.975830078125;42;65
547;6319.2841796875,901.7072143554688;43;65
548;6326.6875,800.7272338867188;44;65
549;6235.8974609375,793.3751831054688;45;65
550;6235.15087890625,572.4589233398438;46;65
551;6106.265625,462.3655700683594;47;65
552;6108.98291015625,344.1912536621094;48;65
553;5967.39892578125,268.72991943359375;49;65
554;5951.64501953125,128.6219482421875;50;65
555;5946.28125,-196.1903533935547;51;65
556;6090.98876953125,-195.4613494873047;52;65
557;6209.1455078125,-110.46135711669922;53;65
558;6293.82470703125,-97.03369903564453;54;65
559;6400.43701171875,-3.9527063369750977;55;65
560;6572.8505859375,232.27395629882812;56;65
561;6798.34912109375,237.40994262695312;57;65
562;7115.90576171875,418.65057373046875;58;65
563;7461.345703125,437.9132385253906;59;65
564;7481.14306640625,540.4852294921875;60;65
565;9069.0888671875,535.643798828125;61;65
566;5987.9091796875,3373.601318359375;1;66
567;6192.28857421875,3570.725830078125;2;66
568;6366.43359375,3676.23486328125;3;66
569;6601.5234375,3983.157470703125;4;66
570;6715.80322265625,4139.88427734375;5;66
571;6807.22705078125,4316.20166015625;6;66
572;6817.0224609375,4557.822265625;7;66
573;6810.4921875,5103.1005859375;8;66
574;6944.36279296875,5161.87353515625;9;66
575;6950.89306640625,5250.03173828125;10;66
576;6826.81787109375,5324.73388671875;11;66
577;8191.64599609375,6226.30810546875;12;66
578;6087.5341796875,9000.3388671875;13;66
579;4688.7119140625,6499.2275390625;14;66
580;4675.09130859375,6004.27880859375;15;66
581;4727.3330078125,5955.3017578125;16;66
582;4724.06884765625,5681.0302734375;17;66
583;4629.37939453125,5498.1826171875;18;66
584;4626.11376953125,4943.1083984375;19;66
585;4567.34228515625,4933.31298828125;20;66
586;4560.8115234375,4711.28369140625;21;66
587;4517.244140625,4671.5419921875;22;66
588;4521.86181640625,4631.9638671875;23;66
589;4564.07666015625,4613.32958984375;24;66
590;4583.83154296875,4264.751953125;25;66
591;4677.9404296875,4128.42236328125;26;66
592;4825.1513671875,3978.239990234375;27;66
593;4954.37646484375,3884.34326171875;28;66
594;5179.5634765625,3690.579345703125;29;66
595;5346.19384765625,3481.843017578125;30;66
596;5543.67431640625,3357.807861328125;31;66
597;9062.0498046875,537.9525756835938;1;67
598;7478.2119140625,544.87890625;2;67
599;7462.04931640625,438.6739196777344;3;67
600;7122.65625,415.5859069824219;4;67
601;6799.423828125,235.499267578125;5;67
602;6573.16162109375,230.88162231445312;6;67
603;6402.30126953125,-2.562706470489502;7;67
604;6294.650390625,-96.1330337524414;8;67
605;6206.2666015625,-110.00202941894531;9;67
606;6092.48486328125,-194.2890167236328;10;67
607;5939.4541015625,-195.4593505859375;11;67
608;5738.42529296875,-187.83935546875;12;67
609;5676.27685546875,-300.75799560546875;13;67
610;5677.79833984375,-901.81494140625;14;67
611;5719.35693359375,-1007.6038208007812;15;67
612;5765.85302734375,-1081.349609375;16;67
613;5763.61181640625,-1199.222900390625;17;67
614;5929.00537109375,-1205.1929931640625;18;67
615;5942.85791015625,-1533.0428466796875;19;67
616;6058.29833984375,-1533.0428466796875;20;67
617;6088.31298828125,-1646.1741943359375;21;67
618;6106.783203125,-1886.28955078125;22;67
619;6303.03125,-1909.3778076171875;23;67
620;6303.03125,-2124.09619140625;24;67
621;6469.26513671875,-2101.00830078125;25;67
622;6566.23486328125,-2276.47705078125;26;67
623;6501.58837890625,-2368.8291015625;27;67
624;6506.2060546875,-2641.267822265625;28;67
625;6635.49853515625,-2673.591064453125;29;67
626;6635.49853515625,-4026.549560546875;30;67
627;7129.58251953125,-4038.09326171875;31;67
628;7136.5087890625,-4264.35595703125;32;67
629;9055.123046875,-4278.20849609375;33;67
630;10117.9638671875,-2667.060791015625;34;67
631;10790.59765625,-311.297607421875;35;67
632;5477.20458984375,2632.635986328125;1;68
633;5605.5009765625,2736.77587890625;2;68
634;5603.46435546875,3063.781982421875;3;68
635;5538.81787109375,3068.399658203125;4;68
636;5543.43603515625,3361.61767578125;5;68
637;5349.49609375,3486.29248046875;6;68
638;5178.64501953125,3691.776611328125;7;68
639;4947.7646484375,3888.024658203125;8;68
640;4818.4716796875,3984.993896484375;9;68
641;4677.634765625,4130.44873046875;10;68
642;4586.14013671875,4263.3994140625;11;68
643;4361.56982421875,4260.5703125;12;68
644;4270.8701171875,4195.17138671875;13;68
645;4240.85546875,3734.939208984375;14;68
646;4215.7587890625,3267.03955078125;15;68
647;4092.263916015625,3188.912353515625;16;68
648;4071.040283203125,3098.304931640625;17;68
649;4050.985595703125,2898.939208984375;18;68
650;4038.62109375,2606.08935546875;19;68
651;4103.69189453125,2588.943359375;20;68
652;4110.22216796875,2451.807373046875;21;68
653;4263.68359375,2298.345703125;22;68
654;4263.68359375,2157.944580078125;23;68
655;4227.76708984375,2046.93017578125;24;68
656;4182.05517578125,2033.869384765625;25;68
657;4208.17626953125,1798.7794189453125;26;68
658;4276.744140625,1730.2117919921875;27;68
659;4544.48583984375,1733.476806640625;28;68
660;4613.0537109375,1798.7794189453125;29;68
661;4833.79833984375,1789.5440673828125;30;68
662;4903.62255859375,1787.903076171875;31;68
663;4904.14306640625,1899.4505615234375;32;68
664;5032.5078125,2002.853759765625;33;68
665;5057.9609375,2086.242919921875;34;68
666;5218.78466796875,2133.6875;35;68
667;5374.22705078125,2229.700439453125;36;68
668;5454.84130859375,2435.323974609375;37;68
669;9052.6865234375,-4283.14111328125;1;69
670;7133.60498046875,-4262.19775390625;2;69
671;7133.5205078125,-4035.5556640625;3;69
672;6634.1748046875,-4028.62890625;4;69
673;6634.1748046875,-2667.930908203125;5;69
674;6500.30419921875,-2645.07470703125;6;69
675;6500.30419921875,-2364.272705078125;7;69
676;6560.9892578125,-2279.939453125;8;69
677;6467.65283203125,-2103.061767578125;9;69
678;6299.80615234375,-2125.193603515625;10;69
679;6300.76220703125,-1906.525634765625;11;69
680;6102.91357421875,-1889.3228759765625;12;69
681;6085.79541015625,-1640.504150390625;13;69
682;6062.775390625,-1534.9276123046875;14;69
683;5938.7001953125,-1531.66259765625;15;69
684;5928.90478515625,-1201.88330078125;16;69
685;5760.3056640625,-1199.5745849609375;17;69
686;5710.14013671875,-1231.2696533203125;18;69
687;5524.02734375,-1231.2696533203125;19;69
688;5497.90625,-1201.88330078125;20;69
689;5396.68701171875,-1201.88330078125;21;69
690;5285.67236328125,-1100.6639404296875;22;69
691;5034.25634765625,-1097.39892578125;23;69
692;5034.25634765625,-1394.526611328125;24;69
693;4861.2041015625,-1440.2386474609375;25;69
694;4734.81982421875,-1338.6231689453125;26;69
695;4660.345703125,-1369.84619140625;27;69
696;4689.48779296875,-1472.087646484375;28;69
697;4773.9677734375,-1614.4205322265625;29;69
698;4707.74267578125,-1645.9422607421875;30;69
699;4679.90673828125,-1845.1158447265625;31;69
700;4662.97705078125,-2375.025390625;32;69
701;4574.9541015625,-2378.320068359375;33;69
702;4541.22021484375,-2481.818115234375;34;69
703;4459.59228515625,-2514.469482421875;35;69
704;4440.0009765625,-2716.908203125;36;69
705;4443.2666015625,-2906.286376953125;37;69
706;4459.59228515625,-3190.353515625;38;69
707;4524.89453125,-3213.208984375;39;69
708;4694.68212890625,-3484.2158203125;40;69
709;4844.87841796875,-3732.365966796875;41;69
710;4939.5673828125,-3751.95751953125;42;69
711;4988.54443359375,-3833.585205078125;43;69
712;5017.9306640625,-4163.36474609375;44;69
713;5138.74072265625,-4277.64453125;45;69
714;5142.00634765625,-4431.10595703125;46;69
715;5239.9599609375,-4571.5068359375;47;69
716;5461.98974609375,-4581.30322265625;48;69
717;5530.5576171875,-4633.54443359375;49;69
718;5528.2490234375,-4828.9267578125;50;69
719;5914.02734375,-6072.09716796875;51;69
720;7772.0771484375,-5445.66943359375;52;69
721;5738.21728515625,-187.75869750976562;1;70
722;5939.4541015625,-195.4593505859375;2;70
723;5951.50244140625,132.3749542236328;3;70
724;5965.064453125,269.68426513671875;4;70
725;6105.6103515625,341.193603515625;5;70
726;6105.6015625,466.7682189941406;6;70
727;6236.0400390625,576.180908203125;7;70
728;6234.76953125,795.8801879882812;8;70
729;6330.37646484375,798.4246215820312;9;70
730;6321.19677734375,901.4271850585938;10;70
731;6161.88037109375,1132.667236328125;11;70
732;6131.02587890625,1289.467529296875;12;70
733;5998.26953125,1352.9598388671875;13;70
734;5902.4541015625,1424.532470703125;14;70
735;5702.74267578125,1417.606201171875;15;70
736;5583.8056640625,1342.74853515625;16;70
737;5580.44970703125,1339.6927490234375;17;70
738;5508.8037109375,1274.4605712890625;18;70
739;5477.63427734375,1199.4241943359375;19;70
740;5425.6865234375,1074.7489013671875;20;70
741;5363.34912109375,1071.285888671875;21;70
742;5139.39501953125,928.1401977539062;22;70
743;5079.3662109375,761.90625;23;70
744;5079.3662109375,544.87890625;24;70
745;5208.6591796875,461.7618713378906;25;70
746;5190.18896484375,78.5009536743164;26;70
747;5023.955078125,-217.0256805419922;27;70
748;5023.955078125,-217.0256805419922;28;70
749;4853.103515625,-434.0530090332031;29;70
750;4839.2509765625,-951.2249145507812;30;70
751;5037.80810546875,-1098.98828125;31;70
752;5282.541015625,-1103.6055908203125;32;70
753;5402.5986328125,-1200.5753173828125;33;70
754;5494.95068359375,-1200.5753173828125;34;70
755;5536.50927734375,-1232.8985595703125;35;70
756;5711.97802734375,-1228.2808837890625;36;70
757;5760.3466796875,-1197.590576171875;37;70
758;5762.4833984375,-1071.322265625;38;70
759;5715.9306640625,-999.192626953125;39;70
760;5674.64453125,-899.60595703125;40;70
761;5677.31396484375,-301.0126647949219;41;70
1068;1422.201904296875,-6166.97900390625;1;139
1069;1259.7435302734375,-5997.52685546875;2;139
1070;985.4995727539062,-5981.625;3;139
1071;73.58984375,-6100.5458984375;5;139
1072;-400.1466979980469,-6313.24755859375;6;139
1073;-895.5859985351562,-6286.25;7;139
1074;-1382.0284423828125,-6371.375;8;139
1075;-2056.5,-6139.5146484375;9;139
1076;-2375.464111328125,-5962.70703125;10;139
1077;-1824.8199462890625,-4489.31982421875;11;139
1078;-1252.510009765625,-4107.7900390625;12;139
1079;-729.4320068359375,-4003.170166015625;13;139
1080;39.79869842529297,-3732.399658203125;14;139
1081;938.260009765625,-3769.31982421875;15;139
1082;1418.260009765625,-3849.31982421875;16;139
1083;1855.18017578125,-3781.6298828125;17;139
1084;2316.719970703125,-3849.31982421875;18;139
1085;2482.8798828125,-4169.31982421875;19;139
1086;2575.179931640625,-4581.6298828125;20;139
1087;2550.570068359375,-5012.39990234375;21;139
1088;2384.409912109375,-5412.39990234375;22;139
1089;2107.489990234375,-5787.7900390625;23;139
1090;1756.5799560546875,-3881.710205078125;1;140
1091;2302.219970703125,-4060.170166015625;2;140
1092;2347.35009765625,-4484.7900390625;3;140
1093;2539.14990234375,-4761.7099609375;4;140
1094;2519.659912109375,-4923.759765625;5;140
1095;2415.0400390625,-5034.52978515625;6;140
1096;2304.27001953125,-5385.2998046875;7;140
1097;2304.27001953125,-5385.2998046875;8;140
1098;2220.169921875,-5467.35009765625;9;140
1099;1897.090087890625,-4974.02001953125;10;140
1100;1732.989990234375,-4615.0400390625;11;140
1101;1415.171142578125,-4526.62255859375;12;140
1102;1380.291259765625,-4149.654296875;13;140
1103;1658.1199951171875,-3943.25;14;140
1104;1359.285400390625,-6116.81201171875;1;141
1105;2106.219970703125,-5784.330078125;2;141
1106;2385.199951171875,-5413.0498046875;3;141
1107;2531.179931640625,-5005.8701171875;4;141
1108;2555.449951171875,-4580.22998046875;5;141
1109;2483.659912109375,-4169.2900390625;6;141
1110;2313.39990234375,-3848.6103515625;7;141
1111;1669.9801025390625,-3808.9501953125;8;141
1112;1847.079833984375,-3657.149658203125;9;141
1113;2281.27001953125,-3579.210205078125;10;141
1114;2852.210205078125,-3741.260009765625;11;141
1115;3073.06005859375,-3936.1298828125;12;141
1116;3281.080078125,-3997.40966796875;13;141
1117;3846.460205078125,-3894.969970703125;14;141
1118;4312.0400390625,-4674.58984375;15;141
1119;4758.56982421875,-5184.52001953125;16;141
1120;5120.47998046875,-5435.330078125;17;141
1121;5333.81982421875,-6067.1298828125;18;141
1122;5407.66015625,-7306.10009765625;19;141
1123;5136.89013671875,-8266.099609375;20;141
1124;3865.100341796875,-8766.6201171875;21;141
1125;2593.300048828125,-8594.3095703125;22;141
1126;1584.0699462890625,-7823.02978515625;23;141
1127;1329.7099609375,-7232.259765625;24;141
1128;1737.43994140625,-3743.59033203125;1;142
1129;1474.8699951171875,-3329.22998046875;2;142
1130;1259.489990234375,-2471.7900390625;3;142
1131;1195.9000244140625,-1940.510009765625;4;142
1132;1366.1600341796875,-1273.8499755859375;5;142
1133;1567.1800537109375,-861.5380249023438;6;142
1134;1817.43994140625,-410.2560119628906;7;142
1135;1682.050048828125,356.9230041503906;8;142
1136;2225.639892578125,806.1539916992188;9;142
1137;2859.489990234375,1095.3900146484375;10;142
1138;2957.949951171875,2221.5400390625;11;142
1139;3610.260009765625,2910.77001953125;12;142
1140;4767.18017578125,2289.22998046875;13;142
1141;4391.7998046875,1372.3101806640625;14;142
1142;4293.330078125,664.6160278320312;15;142
1143;4213.330078125,-147.69200134277344;16;142
1144;3850.260009765625,-529.22998046875;17;142
1145;3573.330078125,-713.8460083007812;18;142
1146;3345.639892578125,-1070.77001953125;19;142
1147;3616.409912109375,-1304.6099853515625;20;142
1148;3626.669921875,-1776.4100341796875;21;142
1149;3407.179931640625,-2853.330078125;22;142
1150;3513.85009765625,-3417.43994140625;23;142
1151;3874.870361328125,-3891.280029296875;24;142
1152;3238.97998046875,-3993.850341796875;25;142
1153;2845.1298828125,-3751.7900390625;26;142
1154;2285.1298828125,-3583.590087890625;27;142
1163;1753.552490234375,-2619.193115234375;1;145
1164;1597.6549072265625,-2393.552001953125;2;145
1165;1581.244873046875,-2151.50048828125;3;145
1166;1306.373046875,-1880.7310791015625;4;145
1167;990.4754638671875,-2024.3209228515625;5;145
1168;834.5782470703125,-1876.62890625;6;145
1169;953.5525512695312,-1113.5518798828125;7;145
1170;1466.37353515625,-674.577392578125;8;145
1171;1958.6807861328125,-719.7054443359375;9;145
1172;2159.70654296875,-1240.7313232421875;10;145
1173;2807.911376953125,-1199.7056884765625;11;145
1174;3173.039794921875,-1367.9107666015625;12;145
1175;3279.41259765625,-1690.2799072265625;13;145
1176;2963.80908203125,-2204.833984375;15;145
1177;2721.757568359375,-2385.346923828125;16;145
1178;2377.14208984375,-2446.88525390625;17;145
1179;2094.065673828125,-2664.3212890625;18;145
1180;1762.9293212890625,-2610.623046875;1;146
1181;1701.3907470703125,-2850.1103515625;2;146
1182;1541.9036865234375,-2957.802490234375;3;146
1183;1471.6470947265625,-3077.802490234375;4;146
1184;1273.698486328125,-3095.75146484375;5;146
1185;1042.9293212890625,-3120.879638671875;6;146
1186;938.3137817382812,-2928.05908203125;7;146
1187;862.4164428710938,-2454.212890625;8;146
1188;984.4676513671875,-2010.623046875;9;146
1189;1310.62158203125,-1861.9051513671875;10;146
1190;1609.0830078125,-2135.751220703125;11;146
1191;1610.1087646484375,-2391.135986328125;12;146
1192;-9829.6103515625,-2812.31005859375;1;147
1193;-10617.2998046875,-3335.389892578125;2;147
1194;-11805,-3193.85009765625;3;147
1195;-12641.900390625,-2246.159912109375;4;147
1196;-12598.7998046875,473.8450012207031;5;147
1197;-11909.599609375,1673.8499755859375;6;147
1198;-10925,2012.3101806640625;7;147
1199;-10241.900390625,1544.6099853515625;8;147
1200;-9804.990234375,935.384033203125;9;147
1201;-9152.6796875,890.2550048828125;10;147
1202;-8670.6298828125,830.7680053710938;11;147
1203;-8399.8603515625,1122.050048828125;12;147
1204;-8161.90966796875,843.0759887695312;14;147
1205;-8297.2998046875,233.84500122070312;15;147
1206;-8155.759765625,-203.0780029296875;16;147
1207;-8346.5302734375,-843.0780029296875;17;147
1208;-8401.91015625,-1766.1500244140625;18;147
1209;-8814.2197265625,-1901.5399169921875;19;147
1210;-9343.4501953125,-1963.079833984375;20;147
1211;-9608.0703125,-2332.31005859375;21;147
1363;-727.9130249023438,-4010.84033203125;1;153
1364;-1232.530029296875,-4119.56005859375;2;153
1365;-1798.6800537109375,-4509.31005859375;3;153
1366;-2262.27001953125,-4503.14990234375;4;153
1367;-2535.090087890625,-4156.47998046875;5;153
1368;-2368.93994140625,-3729.81982421875;6;153
1369;-2377.139892578125,-3391.360107421875;7;153
1370;-2225.35009765625,-3044.68994140625;8;153
1371;-2701.25,-2605.719970703125;9;153
1372;-3255.090087890625,-2523.659912109375;10;153
1373;-3689.960205078125,-2492.89990234375;11;153
1374;-4510.47998046875,-2613.919921875;12;153
1375;-4789.4501953125,-3032.3798828125;13;153
1376;-5084.83984375,-3065.199951171875;14;153
1377;-5125.85986328125,-2792.3798828125;15;153
1378;-4871.5,-2244.68994140625;16;153
